Column 4,ABC,Agency Name,Agency description
49,B,Bureau of Industry and Security (BIS),The Bureau of Industry and Security (BIS) promotes the nationâ€™s economic development and technological advancement by ensuring an effective export control and treaty compliance system.
50,B,Bureau of International Labor Affairs (ILAB),"The Bureau of International Labor Affairs (ILAB) works to improve working conditions, raise living standards, protect workersâ€™ ability to exercise their rights, and address the workplace exploitation of children and other vulnerable populations."
51,B,Bureau of Justice Statistics (BJS),"The Bureau of Justice Statistics (BJS) publishes information on crime, criminal offenders, victims of crime, and the operation of justice systems."
52,B,Bureau of Labor Statistics (BLS),"The Bureau of Labor Statistics (BLS) measures labor market activity, working conditions, and price changes in the economy."
53,B,Bureau of Land Management (BLM),"The Bureau of Land Management (BLM) manages outdoor recreation, livestock grazing, mineral development, and energy production on public lands."
54,B,Bureau of Ocean Energy Management (BOEM),"The Bureau of Ocean Energy Management (BOEM) promotes energy independence, environmental protection, and economic development by managing offshore energy resources."
55,B,Bureau of Prisons (FBOP),"The Federal Bureau of Prisons (FBOP) manages federal prisons, and community-based facilities that provide work and opportunities to assist offenders."
56,B,Bureau of Reclamation,The Bureau of Reclamation is a provider of wholesale water and hydroelectric power in the U.S.
57,B,Bureau of Safety and Environmental Enforcement (BSEE),"The Bureau of Safety and Environmental Enforcement (BSEE) provides oversight and enforcement to promote safety, protect the environment, and conserve offshore resources."
58,B,Bureau of the Census,The U.S. Census Bureau provides data about the nation's people and economy.
59,B,Bureau of the Fiscal Service,"The Bureau of the Fiscal Service manages all federal payments and collections, and provides government-wide accounting and reporting services. You can contact them to buy bonds or to check on the maturity of bonds you own."
60,B,Bureau of Transportation Statistics (BTS),The Bureau of Transportation Statistics (BTS) collects and publishes comprehensive transportation statistics.
61,C,Capitol Police,"U.S. Capitol Police Officers work to protect life and property, investigate criminal acts, and enforce traffic regulations on U.S. Capitol Grounds. Officers are also responsible for protecting members, officers of Congress, and their families."
62,C,Capitol Visitor Center,"Take a tour of the historic Capitol, where you can see the Crypt of the Capitol, the Rotunda, and National Statuary Hall."
63,C,"Career, Technical, and Adult Education, Office of (OCTAE)","The Office of Career, Technical, and Adult Education (OCTAE) administers and coordinates programs that are related to adult education and literacy, career and technical education, and community colleges."
64,C,Census Bureau,The U.S. Census Bureau provides data about the nation's people and economy.
65,C,Center for Food Safety and Applied Nutrition (CFSAN),"The Center for Food Safety and Applied Nutrition (CFSAN) provides services to consumers and industry groups about food and cosmetics. They perform scientific analysis, develop policy, and handle critical issues related to food and cosmetics."
66,C,Center for Nutrition Policy and Promotion (CNPP),The Center for Nutrition Policy and Promotion (CNPP) works to improve the health and well-being of Americans by developing and promoting dietary guidance that links scientific research to the nutrition needs of consumers.
67,C,Center for Parent Information and Resources (CPIR),The Center for Parent Information and Resources (CPIR) offers information for children and young people with disabilities under 22 years of age.
68,C,Centers for Disease Control and Prevention (CDC),"The Centers for Disease Control and Prevention (CDC) collaborates to create the expertise, information, and tools that people and communities need to protect their health through health promotion, prevention of disease, injury and disability, and preparedness for new health threats."
69,C,Centers for Medicare and Medicaid Services (CMS),"The Centers for Medicare and Medicaid Services (CMS) provides health coverage to more than 100 million people through Medicare, Medicaid, the Childrenâ€™s Health Insurance Program, and the Health Insurance Marketplace. The CMS seeks to strengthen and modernize the Nationâ€™s health care system, to provide access to high quality care and improved health at lower costs."
70,C,Central Command (CENTCOM),"The U.S Central Command (CENTCOM) is responsible for defending and promoting U.S. interests in 20 nations in the Middle East, Central and South Asia, and the strategic waterways that surround them."
71,C,Central Intelligence Agency (CIA),"The Central Intelligence Agency (CIA) collects, evaluates, and disseminates vital information on economic, military, political, scientific, and other developments abroad to safeguard national security."
72,C,Chemical Safety Board (CSB),The Chemical Safety Board (CSB) investigates industrial chemical accidents.
73,C,Chief Acquisition Officers Council (CAOC),The Chief Acquisition Officers Council (CAOC) monitors and improves the federal acquisition system.
74,C,Chief Financial Officers Council (CFO),The Chief Financial Officers Council (CFO) works to improve financial management in the U.S. government.
75,C,Chief Human Capital Officers (CHCO) Council,"The Chief Human Capital Officers (CHCO) Council works to modernize human resources systems, improve the quality of human resources information, and advises on legislation affecting human resources operations."
76,C,Chief Information Officers Council,The CIO Council is the principal interagency forum on Federal agency practices for information technology management.
77,C,"Child Support Enforcement, Office of (OCSS)","The Office of Child Support Services (OCSS) assures that support (both financial and medical) is available to children through locating parents, establishing paternity, identifying support obligations, and enforcing those obligations."
78,C,Circuit Courts of Appeal,"The U.S. Courts of Appeal hear appeals from lower courts of both civil and criminal trials, but do not investigate the facts of a case. Rather, the Appeals Courts investigate whether or not the law has been fairly and correctly applied by the lower courts."
79,C,Citizens' Stamp Advisory Committee (CSAC),The Citizens' Stamp Advisory Committee (CSAC) evaluates all stamp proposals. The Committee's primary goal is to select subjects of broad national interest for recommendation to the Postmaster General that are both interesting and educational.
80,C,Citizenship and Immigration Services (USCIS),The U.S. Citizenship and Immigration Services (USCIS) is responsible for processing immigration and naturalization applications and establishing policies regarding immigration services.
81,C,"Civil Rights Division, Department of Justice","The Civil Rights Division is responsible for enforcing federal statutes that prohibit discrimination based on race, color, religion, sex, disability or national origin."
82,C,"Civil Rights, Department of Education Office of (OCR)",The Office for Civil Rights (OCR) works to ensure equal access to education and resolve complaints of discrimination.
83,C,"Civil Rights, Department of Health and Human Services Office for",The Office for Civil Rights helps to protect you from discrimination in certain healthcare and social service programs.
84,C,Coast Guard (USCG),The U.S. Coast Guard (USCG) safeguards the maritime interests of the United States and the environment around the world.
85,C,Commerce Department (DOC),"The Department of Commerce (DOC) works with businesses, universities, communities, and the Nationâ€™s workers to promote job creation, economic growth, sustainable development, and improved standards of living for Americans."
86,C,Commission of Fine Arts,"The U. S. Commission of Fine Arts advises the government on matters pertaining to the arts, and to guide the architectural development of Washington."
87,C,Commission on Civil Rights (USCCR),"The U.S. Commission on Civil Rights (USCCR) is an independent, bipartisan agency charged with monitoring federal civil rights enforcement."
88,C,Commission on International Religious Freedom (USCIRF),"The U.S. Commission on International Religious Freedom (USCIRF) reviews the facts and circumstances of violations of religious freedom internationally and to make policy recommendations to the President, the Secretary of State and Congress."
89,C,Commission on Presidential Scholars,"The Commission on Presidential Scholars selects and honors the Presidential Scholars, a group of graduating high school seniors of exceptional talent and commitment to public service."
90,C,Commission on Security and Cooperation in Europe (Helsinki Commission),The Commission on Security and Cooperation in Europe monitors and encourages compliance with the Helsinki Final Act and other Organization for Security and Co-operation in Europe commitments.
91,C,Committee on Foreign Investment in the United States (CFIUS),The Committee on Foreign Investment in the United States (CFIUS) reviews transactions that could result in control of a U.S. business by a foreign person.
92,C,Commodity Futures Trading Commission (CFTC),"The Commodity Futures Trading Commission (CFTC) protects the public from fraud, manipulation, and abusive practices related to the sale of commodity and financial futures and options, and to fosters open, competitive, and financially sound futures and option markets. They investigate and prosecute commodities fraud, including foreign currency schemes, energy manipulation and hedge fund fraud, and works with other federal and state agencies to bring criminal and other actions."
93,C,Community Oriented Policing Services (COPS),The Office of Community Oriented Policing Services (COPS) advances the practice of community policing through sharing information and making grants to police departments in the United States.
94,C,Community Planning and Development (CPD),"The Office of Community Planning and Development (CPD) develops communities by promoting decent housing, suitable living environments, and expanded economic opportunities for low and moderate income people."
95,C,"Comptroller of the Currency, Office of (OCC)","The Office of the Comptroller of the Currency (OCC) charters, regulates, and supervises all national banks. It also supervises the federal branches and agencies of foreign banks."
96,C,Congressâ€”U.S. House of Representatives,"The U.S. House of Representatives and the U.S. Senate make up the two chambers of Congress. The House has 435 members, the number representing each state is determined by population."
97,C,Congressâ€”U.S. Senate,"The U.S. Senate and the U.S. House of Representatives make up the two chambers of Congress. The Senate has 100 members, two from each state, who are elected to serve for a term of six years."
98,C,Congressional Budget Office (CBO),"The Congressional Budget Office (CBO) produces independent, nonpartisan, analysis of economic and budgetary issues to support the Congressional budget process."
99,C,Congressional Research Service (CRS),"The Congressional Research Service (CRS) serves the Congress throughout the legislative process by providing comprehensive and reliable legislative research and analysis that are timely, objective, authoritative, and confidential, thereby contributing to an informed national legislature."
100,C,"Congressional Workplace Rights, Office of (OCWR)","The Office of Congressional Workplace Rights (OCWR) advances workplace rights, safety, health, and accessibility in the Legislative Branch."
101,C,"Consular Affairs, Bureau of","The Bureau of Consular Affairs provides passport services to U.S. citizens, issues Visas to enter the U.S., manages the Diversity Visa Lottery, and provides services to U.S. citizens abroad."
102,C,Consumer Financial Protection Bureau (CFPB),"The Consumer Financial Protection Bureau (CFPB) helps consumers by providing educational materials and accepting complaints. It supervises banks, lenders, and large non-bank entities, such as credit reporting agencies and debt collection companies. The Bureau also works to make credit card, mortgage, and other loan disclosures clearer, so consumers can understand their rights and responsibilities."
103,C,Consumer Product Safety Commission (CPSC),"The Consumer Product Safety Commission (CPSC) protects the public from unreasonable risks of serious injury or death from thousands of types of consumer products under its jurisdiction, including products that pose a fire, electrical, chemical, or mechanical hazard or can injure children."
104,C,Coordinating Council on Juvenile Justice and Delinquency Prevention,"The Coordinating Council on Juvenile Justice and Delinquency Prevention coordinates, studies the effectiveness of, and makes recommendations on juvenile crime prevention activities."
105,C,Copyright Office,"The Copyright Office administers the national copyright system and provides advice on copyright law to congress, federal agencies, the courts and the public."
106,C,Corps of Engineers,"The Army Corps of Engineers provides public engineering services in peace and war to strengthen national security, energize the economy, and reduce risks from disasters."
107,C,Council of Economic Advisers (CEA),The Council of Economic Advisers (CEA) gives the president advice on domestic and international economic policy.
108,C,Council of the Inspectors General on Integrity and Efficiency (CIGIE),"The Council of the Inspectors General on Integrity and Efficiency (CIGIE) address integrity, economy, and effectiveness issues in the federal government."
109,C,Council on Environmental Quality (CEQ),"The Council on Environmental Quality (CEQ) coordinates federal environmental activities, and the development of environmental policy."
110,C,Court of Appeals for the Armed Forces,The Court of Appeals for the Armed Forces is an appeals court with worldwide jurisdiction for anyone subject to the Uniform Code of Military Justice.
111,C,Court of Appeals for the Federal Circuit,"With a national jurisdiction, the Court of Appeals for the Federal Circuit hears appeals on patent and certain civil cases from courts such as the U.S. Court of International Trade and the Court of Federal Claims, among others. The Court of Appeals for the Federal Circuit may also review the administrative rulings of the Patent and Trademark Office, the Secretary of Commerce and other agencies."
112,C,Court of Appeals for Veterans Claims,The Court of Appeals for Veterans Claims hears appeals of decisions made by the Board of Veterans Appeals. You must have a decision from the Board of Veterans Appeals to bring a case before this court.
113,C,Court of Federal Claims,The U.S. Court of Federal Claims has jurisdiction over claims seeking money judgments against the United States.
114,C,Court of International Trade,The United States Court of International Trade resolves trade disputes by interpreting and applying customs and international trade laws.
115,C,Court Services and Offender Supervision Agency for the District of Columbia (CSOSA),"The Court Services and Offender Supervision Agency (CSOSA) provides supervision of adults on parole, probation, and supervised release in the District of Columbia."
116,C,Customs and Border Protection (CBP),Customs and Border Protection (CBP) prevents people from entering the country illegally or bringing anything harmful or illegal into the United States.
117,C,Cyber Command,The U.S. Cyber Command coordinates cyberspace operations to defend U.S. interests.
118,C,Cybersecurity and Infrastructure Security Agency (CISA),The Cybersecurity and Infrastructure Security Agency (CISA) defends critical infrastructure against threats.
119,D,Debt and Claims Management Center,The Debt and Claims Management Center collects or settles delinquent debts for the Department of Defense by former military members and civilian employees.
120,D,Defense Advanced Research Projects Agency (DARPA),The Defense Advanced Research Projects Agency (DARPA) serves as the central research and development organization of the Department of Defense.
121,D,Defense Commissary Agency,The Defense Commissary Agency provides a worldwide network of commissaries that sell groceries and household supplies at low cost to members of the Armed Services.
122,D,Defense Contract Audit Agency (DCAA),The Defense Contract Audit Agency (DCAA) audits U.S. Department of Defense contracts.
123,D,Defense Contract Management Agency (DCMA),"The Defense Contract Management Agency (DCAMA) is responsible for contract management for the Department of Defense, the National Aeronautics and Space Administration, and several other federal, state, foreign and international governments and agencies. Its goal is to ensure contracts are fulfilled on time and at the correct cost."
124,D,Defense Counterintelligence and Security Agency (DCSA),"The Defense Counterintelligence and Security Agency (DCSA) provides industrial security engagement and counterintelligence support to secure the trustworthiness of the U.S. government's workforce, contract support, technologies, services, and supply chains."
125,D,Defense Department (DOD),"The Department of Defense (DOD) provides the military forces needed to deter war, and to protect the security of the United States."
126,D,Defense Finance and Accounting Service (DFAS),"The Defense Finance and Accounting Service (DFAS) oversees payments to Department of Defense servicemembers, employees, vendors and contractors. The Defense Finance and Accounting Services also provides Department of Defense decision makers with business intelligence, finance and accounting information."
127,D,Defense Finance and Accounting Service Debt and Claims Management Center,The Debt and Claims Management Center collects or settles delinquent debts for the Department of Defense by former military members and civilian employees.
128,D,Defense Health Agency (DHA),"The Defense Health Agency (DHA) supports uniformed services health care, including the TRICARE health plan."
129,D,Defense Information Systems Agency (DISA),"The Defense Information Systems Agency (DISA) provides a global infrastructure for information sharing and communication across the Department of Defense, from the President on down."
130,D,Defense Intelligence Agency (DIA),"The Defense Intelligence Agency (DIA) provides defense intelligence to war fighters, planners, and policy makers."
131,D,Defense Logistics Agency (DLA),"The Defense Logistics Agency (DLA) provides logistical, acquisition, and technical support for the Army, Navy, Air Force, Marine Corps and other federal agencies and allies."
132,D,Defense Nuclear Facilities Safety Board (DNFSB),The Defense Nuclear Facilities Safety Board (DNFSB) reviews the content and implementation of health and safety standards at Department of Energy Defense Nuclear Facilities. The board also makes recommendations to the President and Secretary of Energy regarding health and safety issues at Defense Nuclear Facilities.
133,D,Defense POW/MIA Accounting Agency (DPAA),The Department of Defense POW/MIA Accounting Agency (DPAA) works to recover service members who became missing during their service.
134,D,Defense Security Cooperation Agency (DSCA),"The Defense Security Cooperation Agency (DSCA) supports U.S. national security and foreign policy interests. They train, educate, advise, and equip foreign security forces to respond to shared challenges."
135,D,Defense Technical Information Center (DTIC),"The Defense Technical Information Center (DTIC) serves the Department of Defense as a repository of government funded scientific, technical, engineering and business related information."
136,D,Defense Threat Reduction Agency (DTRA),The Defense Threat Reduction Agency (DTRA) is a combat support agency whose goal is to reduce the threat posed by weapons of mass destruction.
137,D,Delaware River Basin Commission (DRBC),"In 1961, the federal government and the governments of Delaware, New Jersey, Pennsylvania, and New York, entered into an agreement that created the Delaware River Basin Commission (DRBC). The Commission has the independent legal authority to oversee and manage the Delaware River Basin."
138,D,Delta Regional Authority (DRA),"The Delta Regional Authority (DRA) is a partnership to improve economic and community growth in eight states. Those states are Alabama, Arkansas, Illinois, Kentucky, Louisiana, Mississippi, Missouri, and Tennessee."
139,D,Denali Commission,"The Denali Commission provides critical utilities, infrastructure, and economic support throughout Alaska."
140,D,Department of Agriculture (USDA),"The Department of Agriculture (USDA) provides leadership on food, agriculture, natural resources, and related issues."
141,D,Department of Commerce (DOC),"The Department of Commerce (DOC) works with businesses, universities, communities, and the Nationâ€™s workers to promote job creation, economic growth, sustainable development, and improved standards of living for Americans."
142,D,Department of Defense (DOD),"The Department of Defense (DOD) provides the military forces needed to deter war, and to protect the security of the United States."
143,D,Department of Education (ED),"The Department of Education (ED) fosters educational excellence, and to ensures equal access to educational opportunity for all."
144,D,Department of Energy (DOE),The Department of Energy (DOE) manages the United States' nuclear infrastructure and administers the country's energy policy. The Department of Energy also funds scientific research in the field.
145,D,Department of Energyâ€™s Office of Science,The Department of Energyâ€™s (DOEâ€™s) Office of Science supports scientific research in 10 of the Department of Energy's National Laboratories. The Science Office also operates several open-access scientific facilities that are available for projects of sufficient scientific merit.
146,D,Department of Health and Human Services (HHS),The Department of Health and Human Services (HHS) protects the health of all Americans and provides essential human services.
147,D,Department of Homeland Security (DHS),"The Department of Homeland Security (DHS) works to improve the security of the United States. The Department's work includes customs, border, and immigration enforcement, emergency response to natural and manmade disasters, antiterrorism work, and cybersecurity."
148,D,Department of Housing and Urban Development (HUD),The Department of Housing and Urban Development (HUD) administers programs that provide housing and community development assistance. The Department also works to ensure fair and equal housing opportunity for all.
149,D,Department of Justice (DOJ),"The Department of Justice (DOJ) enforces federal laws, seeks just punishment for the guilty, and ensures the fair and impartial administration of justice."
150,D,Department of Labor (DOL),"The Department of Labor (DOL) administers federal labor laws to guarantee workers' rights to fair, safe, and healthy working conditions, including minimum hourly wage and overtime pay, protection against employment discrimination, and unemployment insurance."
151,D,Department of State (DOS),The Department of State (DOS) advises the President and leads the nation in foreign policy issues. The State Department negotiates treaties and agreements with foreign entities and represents the United States at the United Nations.
152,D,Department of the Interior (DOI),"The Department of the Interior (DOI) manages public lands and minerals, national parks, and wildlife refuges and upholds Federal trust responsibilities to Indian tribes and Native Alaskans. Additionally, Interior is responsible for endangered species conservation and other environmental conservation efforts."
153,D,Department of the Treasury,"The Department of the Treasury manages federal finances by collecting taxes and paying bills and by managing currency, government accounts and public debt. The Department of the Treasury also enforces finance and tax laws."
154,D,Department of Transportation (DOT),The Department of Transportation (DOT) is responsible for planning and coordinating federal transportation projects. It also sets safety regulations for all major modes of transportation.
155,D,Department of Veterans Affairs (VA),"The Department of Veterans Affairs (VA) runs programs benefiting veterans and members of their families. It offers education opportunities and rehabilitation services and provides compensation payments for disabilities or death related to military service, home loan guaranties, pensions, burials, and health care that includes the services of nursing homes, clinics, and medical centers."
156,D,"Director of National Intelligence, Office of (ODNI)",The Office of the Director of National Intelligence (ODNI) integrates the intelligence gathering and analysis functions performed across the intelligence community to provide intelligence to decision makers.
157,D,"Disability Employment Policy, Office of (ODEP)",The Office of Disability Employment Policy (ODEP) creates policies to ensure that people with disabilities are fully integrated in the workforce.
158,D,Drug Enforcement Administration (DEA),The Drug Enforcement Administration (DEA) enforces the United States' controlled substance laws and regulations and aims to reduce the supply of and demand for such substances.
159,E,"Economic Analysis, Bureau of (BEA)","The Bureau of Economic Analysis (BEA) produces economic accounts statistics that enable government and business decision makers, researchers, and the American public to follow and understand the performance of the Nation's economy."
160,E,Economic Development Administration (EDA),"The Economic Development Administration (EDA) provides grants to economically distressed communities to generate new employment, and stimulate industrial and commercial growth."
161,E,"Economic Growth, Energy, and the Environment","The Under Secretary of State for Economic Growth, Energy, and the Environment leads the State Departmentâ€™s efforts to develop and implement international policies related to economic growth, energy, agriculture, the ocean, the environment, and science and technology."
162,E,Economic Research Service (ERS),"The Economic Research Service (ERS) provides the Department of Agriculture and the public economic information and research on food, agriculture, the environment and rural development."
163,E,Education Department (ED),"The Department of Education (ED) fosters educational excellence, and to ensures equal access to educational opportunity for all."
164,E,Elder Justice Initiative (EJI),"The Elder Justice Initiative (EJI) supports and coordinates the Department of Justice's efforts to combat elder abuse, neglect, and financial fraud and scams that target our nationâ€™s seniors."
165,E,Election Assistance Commission (EAC),"The Election Assistance Commission (EAC) supports state and local election officials in their efforts to ensure accessible, accurate. and secure elections. EAC develops guidance to meet the Help America Vote Act requirements, adopts voluntary voting system guidelines, and serves as a national clearinghouse of information on election administration. EAC also accredits testing laboratories and certifies voting systems, as well as audits the use of Help America Vote Act funds."
166,E,"Elementary and Secondary Education, Office of (OESE)","The Office of Elementary and Secondary Education (OESE) works to improve the achievement of students in preschool through secondary school. The office also works to ensure equal education opportunities for all, and to provide assistance to state and local schools."
167,E,Employee Benefits Security Administration (EBSA),The Employee Benefits Security Administration (EBSA) offers information and assistance on employer-sponsored retirement benefit and health benefit plans.
168,E,Employment and Training Administration (ETA),The Employment and Training Administration (ETA) provides job training and help with finding jobs and careers.
169,E,Energy Department (DOE),The Department of Energy (DOE) manages the United States' nuclear infrastructure and administers the country's energy policy. The Department of Energy also funds scientific research in the field.
170,E,Energy Information Administration (EIA),"The Energy Information Administration (EIA) researches, collects and disseminates information on energy topics."
171,E,"Engraving and Printing, Bureau of (BEP)","The Bureau of Engraving and Printing (BEP) produces United States currency notes, operates as the nation's central bank, and serves to ensure that adequate amounts of currency and coin are in circulation."
172,E,"Environmental Management, Office of",The Office of Environmental Management cleans up nuclear weapons test sites and government sponsored nuclear energy research sites.
173,E,Environmental Protection Agency (EPA),"The Environmental Protection Agency (EPA) protects people and the environment from significant health risks, sponsors and conducts research, and develops and enforces environmental regulations."
174,E,Equal Employment Opportunity Commission (EEOC),"The Equal Employment Opportunity Commission (EEOC) enforces laws that make discrimination illegal in the workplace. The commission oversees all types of work situations including hiring, firing, promotions, harassment, training, wages, and benefits."
175,E,European Command (USEUCOM),"The European Command (USEUCOM) works with partner nations to address regional issues, and keep the peace in Europe, parts of the Middle East, and Eurasia."
176,E,Executive Office for Immigration Review (EOIR),"The Executive Office for Immigration Review (EOIR) administers the immigration court system, which decides whether an individual charged with violating immigration law should be allowed to stay in the country or not."
